               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.09325,             0.92232,            0.021615,           0.0016667,            0.022222,           0.0011032,          0.00045946,             0.10014,             0.33424,            0.025159,            0.067287,           0.0022873,           0.0022873
                  36,            0.092559,             0.68501,            0.021597,          0.00083333,            0.011111,          0.00069578,          0.00033329,             0.09989,             0.33538,            0.025134,            0.066317,            0.002317,            0.002317
                  37,             0.09722,             0.90559,            0.020851,          0.00083333,            0.011111,          0.00069578,          0.00033329,             0.09989,             0.33538,            0.025134,            0.065345,           0.0023447,           0.0023447
                  38,            0.090745,              0.7285,            0.020331,          0.00083333,            0.011111,          0.00067682,          0.00033319,            0.099665,             0.33161,            0.025122,             0.06437,           0.0023704,           0.0023704
                  39,            0.094931,             0.80054,            0.020053,          0.00083333,            0.011111,          0.00067682,          0.00033319,            0.099665,             0.33161,            0.025122,            0.063394,           0.0023942,           0.0023942
                  40,            0.098649,             0.67834,            0.020281,              0.0025,            0.033333,           0.0017963,          0.00067553,              0.0995,             0.32887,            0.025104,            0.062416,            0.002416,            0.002416
                  41,            0.091634,              0.7341,            0.019988,              0.0025,            0.033333,           0.0017963,          0.00067553,              0.0995,             0.32887,            0.025104,            0.061436,           0.0024358,           0.0024358
                  42,            0.092273,             0.78244,            0.020487,              0.0025,            0.033333,           0.0017801,          0.00075945,              0.0994,             0.32963,            0.025092,            0.060454,           0.0024536,           0.0024536
                  43,            0.087608,             0.71441,            0.018584,              0.0025,            0.033333,           0.0017801,          0.00075945,              0.0994,             0.32963,            0.025092,            0.059469,           0.0024695,           0.0024695
                  44,            0.091493,             0.79204,            0.020235,           0.0033333,            0.044444,            0.002058,          0.00079557,            0.099423,              0.3298,            0.025116,            0.058483,           0.0024834,           0.0024834
