               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10945,             0.92936,            0.027631,            0.004717,            0.055556,           0.0028358,           0.0011182,             0.10998,             0.27143,            0.026807,                 0.1,                   0,                   0
                   1,             0.10765,             0.79708,            0.027471,           0.0092282,             0.12222,           0.0058097,           0.0018415,              0.1097,             0.27293,            0.026764,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.10798,             0.60727,            0.027663,                0.01,             0.13333,            0.006369,           0.0023076,             0.10929,             0.27086,            0.026715,            0.098199,          0.00019921,          0.00019921
                   3,             0.10826,             0.71137,            0.027398,           0.0066667,            0.088889,           0.0040678,            0.001485,             0.10888,             0.27866,            0.026654,            0.097298,          0.00029822,          0.00029822
                   4,             0.10671,             0.89816,            0.027542,           0.0091667,             0.12222,           0.0057378,           0.0019009,             0.10843,              0.2805,            0.026593,            0.096397,          0.00039683,          0.00039683
                   5,             0.10715,             0.95749,            0.027588,           0.0066667,            0.088889,           0.0041246,           0.0015542,             0.10799,              0.2782,            0.026532,            0.095495,          0.00049505,          0.00049505
                   6,             0.10477,             0.67232,            0.027398,           0.0066667,            0.088889,           0.0041523,           0.0015624,              0.1075,             0.28015,            0.026447,            0.094593,          0.00059287,          0.00059287
                   7,             0.10492,             0.58389,             0.02728,           0.0058333,            0.077778,           0.0036692,           0.0014402,             0.10703,             0.27832,            0.026379,             0.09369,           0.0006903,           0.0006903
                   8,             0.10398,             0.71274,            0.027302,              0.0025,            0.033333,           0.0015555,          0.00071603,             0.10656,             0.29352,            0.026318,            0.092787,          0.00078733,          0.00078733
                   9,             0.10339,             0.78457,            0.027521,           0.0066667,            0.088889,           0.0040566,           0.0014745,             0.10609,             0.29564,            0.026239,            0.091884,          0.00088396,          0.00088396
                  10,             0.10407,             0.94439,            0.027177,           0.0058333,            0.077778,           0.0035656,           0.0013713,             0.10566,             0.29588,            0.026172,             0.09098,           0.0009802,           0.0009802
                  11,             0.10044,             0.75827,            0.026802,           0.0066667,            0.088889,           0.0041711,           0.0015515,             0.10512,             0.29638,            0.026093,            0.090076,            0.001076,            0.001076
                  12,              0.1031,              0.7206,            0.026582,           0.0058333,            0.077778,           0.0034968,           0.0014315,             0.10465,             0.29699,            0.026013,            0.089171,           0.0011715,           0.0011715
                  13,             0.10279,              1.1172,            0.027104,           0.0066667,            0.088889,           0.0041672,           0.0015751,             0.10432,             0.29876,            0.025946,            0.088267,           0.0012665,           0.0012665
                  14,             0.10076,             0.73303,            0.026821,           0.0058333,            0.077778,           0.0035948,           0.0016026,             0.10384,              0.3314,            0.025873,            0.087361,           0.0013612,           0.0013612
                  15,             0.09881,             0.94299,            0.026481,              0.0075,                 0.1,            0.004654,           0.0016194,             0.10343,             0.33159,            0.025806,            0.086455,           0.0014555,           0.0014555
                  16,            0.098855,             0.77902,             0.02605,           0.0041667,            0.055556,           0.0025091,           0.0010784,             0.10302,             0.33319,            0.025732,            0.085549,           0.0015493,           0.0015493
                  17,             0.10057,              1.0159,            0.026331,           0.0041667,            0.055556,           0.0025091,           0.0010784,             0.10302,             0.33319,            0.025732,            0.084643,           0.0016428,           0.0016428
                  18,            0.097382,             0.81146,            0.026076,           0.0016667,            0.022222,           0.0010364,          0.00045591,             0.10259,              0.3333,            0.025671,            0.083736,           0.0017358,           0.0017358
                  19,             0.09607,             0.94735,            0.025766,           0.0016667,            0.022222,           0.0010364,          0.00045591,             0.10259,              0.3333,            0.025671,            0.082829,           0.0018285,           0.0018285
                  20,            0.095118,             0.84914,            0.025716,          0.00083333,            0.011111,          0.00068286,          0.00032726,             0.10213,              0.3334,             0.02561,            0.081921,           0.0019208,           0.0019208
                  21,            0.096061,              0.8538,               0.026,          0.00083333,            0.011111,          0.00068286,          0.00032726,             0.10213,              0.3334,             0.02561,            0.081013,           0.0020127,           0.0020127
                  22,            0.097788,              1.0732,            0.026091,          0.00083333,            0.011111,          0.00075231,          0.00034295,             0.10177,             0.33313,            0.025549,            0.080104,           0.0021042,           0.0021042
                  23,            0.095448,             0.85333,            0.025559,          0.00083333,            0.011111,          0.00075231,          0.00034295,             0.10177,             0.33313,            0.025549,            0.079195,           0.0021953,           0.0021953
                  24,            0.096215,             0.64237,            0.025537,          0.00083333,            0.011111,          0.00075231,          0.00034015,             0.10114,             0.33395,            0.025494,            0.078286,            0.002286,            0.002286
                  25,            0.093817,             0.50808,            0.024563,          0.00083333,            0.011111,          0.00075231,          0.00034015,             0.10114,             0.33395,            0.025494,            0.077376,           0.0023762,           0.0023762
                  26,            0.093971,             0.71256,            0.024537,          0.00083333,            0.011111,           0.0006283,          0.00031972,             0.10068,             0.33485,            0.025446,            0.076466,           0.0024662,           0.0024662
                  27,            0.094092,             0.67524,            0.024719,          0.00083333,            0.011111,           0.0006283,          0.00031972,             0.10068,             0.33485,            0.025446,            0.075556,           0.0025557,           0.0025557
                  28,            0.094134,             0.89636,            0.024345,          0.00083333,            0.011111,          0.00066019,          0.00032209,             0.10025,             0.33557,            0.025378,            0.074645,           0.0026448,           0.0026448
                  29,            0.093237,             0.84408,             0.02471,          0.00083333,            0.011111,          0.00066019,          0.00032209,             0.10025,             0.33557,            0.025378,            0.073733,           0.0027335,           0.0027335
                  30,            0.096695,              1.0142,            0.024957,          0.00083333,            0.011111,          0.00069578,          0.00033482,            0.099992,             0.33477,            0.025348,            0.072822,           0.0028218,           0.0028218
                  31,            0.094981,             0.94101,            0.025357,          0.00083333,            0.011111,          0.00069578,          0.00033482,            0.099992,             0.33477,            0.025348,             0.07191,           0.0029097,           0.0029097
                  32,            0.093371,             0.73367,            0.025975,          0.00083333,            0.011111,          0.00064547,          0.00032776,            0.099698,             0.33566,            0.025323,            0.070997,           0.0029972,           0.0029972
                  33,            0.093781,             0.80792,            0.024584,          0.00083333,            0.011111,          0.00064547,          0.00032776,            0.099698,             0.33566,            0.025323,            0.070084,           0.0030844,           0.0030844
                  34,             0.09293,             0.78119,            0.024002,           0.0033333,            0.044444,           0.0020186,          0.00082654,            0.099453,             0.33281,            0.025287,            0.069171,           0.0031711,           0.0031711
                  35,            0.092914,             0.94759,            0.022764,           0.0033333,            0.044444,           0.0020186,          0.00082654,            0.099453,             0.33281,            0.025287,            0.068257,           0.0032574,           0.0032574
                  36,            0.090184,             0.78271,            0.025302,           0.0016667,            0.022222,           0.0013973,          0.00039994,            0.099257,             0.33361,            0.025269,            0.067343,           0.0033434,           0.0033434
                  37,             0.10201,             0.88951,            0.022899,           0.0016667,            0.022222,           0.0013973,          0.00039994,            0.099257,             0.33361,            0.025269,            0.066429,           0.0034289,           0.0034289
                  38,            0.091948,             0.69339,            0.022863,           0.0041667,            0.055556,           0.0024495,          0.00097287,            0.099028,             0.33365,            0.025232,            0.065514,           0.0035141,           0.0035141
                  39,            0.090712,              0.9051,            0.022017,           0.0041667,            0.055556,           0.0024495,          0.00097287,            0.099028,             0.33365,            0.025232,            0.064599,           0.0035988,           0.0035988
                  40,            0.099689,             0.71822,             0.02251,              0.0025,            0.033333,           0.0019689,          0.00059075,            0.098881,             0.32942,            0.025256,            0.063683,           0.0036832,           0.0036832
                  41,            0.092147,             0.73878,            0.021388,              0.0025,            0.033333,           0.0019689,          0.00059075,            0.098881,             0.32942,            0.025256,            0.062767,           0.0037672,           0.0037672
                  42,            0.096416,             0.65209,            0.022143,           0.0033333,            0.044444,           0.0026441,          0.00085039,             0.09879,             0.32988,             0.02525,            0.061851,           0.0038507,           0.0038507
                  43,            0.085541,             0.82047,            0.023965,           0.0033333,            0.044444,           0.0026441,          0.00085039,             0.09879,             0.32988,             0.02525,            0.060934,           0.0039339,           0.0039339
                  44,                 0.1,              0.7874,            0.020857,              0.0025,            0.033333,           0.0014898,          0.00059275,            0.098685,             0.32794,            0.025287,            0.060017,           0.0040167,           0.0040167
